,title,sentiment,future_looking
0,Nvidia (NVDA) Slips after Chinese Startup Builds AI Model for only $5.6M - TipRanks,negative,False
1,Dow Jones Falls After Surprise Jobless Claims; Nvidia Hits Buy Point - Investor's Business Daily,negative,True
2,Analyst Thinks Latest NVIDIA (NVDA) Pullback a ‘Gift’ For Long-Term Investors – Here’s Why - Yahoo Finance,positive,True
3,"Noteworthy Thursday Option Activity: FDX, NVDA, LULU - Nasdaq",neutral,False
4,Nvidia: A Reality Check On The Broadcom Risk (NASDAQ:NVDA) - Seeking Alpha,neutral,False
5,Analyst on NVIDIA (NVDA): Investors Should Be ‘Very Vigilant’ Amid Rising Competition - Yahoo Finance,negative,True
6,3 Phenomenal Reasons to Buy Nvidia Stock Before 2025 - The Motley Fool,positive,True
7,Analyst Predicts NVIDIA (NVDA) Stock Will Hit $800 By 2030 - Yahoo Finance,positive,True
8,Nvidia (NVDA) Falls More Steeply Than Broader Market: What Investors Need to Know - Yahoo Finance,negative,True
9,GDS Wealth Management Raises Holdings in NVIDIA Co. (NASDAQ:NVDA) - MarketBeat,positive,True
10,Nvidia Can't Hold Key Level After China AI Startup Shock; Is Nvidia A Sell Now? - Investor's Business Daily,negative,True
11,NVIDIA (NVDA) Price Prediction and Forecast - 24/7 Wall St.,neutral,True
12,"Why Nvidia Stock Could Jump During the Period From Jan. 6 to Jan. 13, 2025 - The Motley Fool",positive,True
13,"Nvidia (NVDA) Stock Quotes, Company News And Chart Analysis - Investor's Business Daily",positive,True
14,Nvidia Stock Is Set To Surge From OpenAI's o3 Breakthrough (NVDA) - Seeking Alpha,positive,True
15,Why NVIDIA Corporation (NVDA) Is Skyrocketing - Yahoo Finance,positive,True
16,"Here’s Why Nvidia (NVDA) Is A Long Game, Longer Than You Think - Yahoo Finance",positive,True
17,Jim Cramer on NVIDIA Corporation (NVDA): ‘How About The Fact That NVIDIA Was Up Three And A Half At 4am And There It Is’ - Yahoo Finance,positive,True
18,Why Nvidia (NVDA) is a Top Momentum Stock for the Long-Term - Yahoo Finance,positive,True
19,"Is Nvidia (NVDA) a Solid Growth Stock? 3 Reasons to Think ""Yes"" - Yahoo Finance",positive,True
20,NVIDIA Corporation (NVDA): Billionaire D.E. Shaw Is Bullish On This Stock Right Now - Yahoo Finance,positive,True
21,"Analyst: NVIDIA (NVDA) Will Rally Again, Current Pullback Is a ‘Chance to Get In’ - Yahoo Finance",positive,True
22,Why Nvidia Corp. (NVDA) Stock Jumped Yesterday - Yahoo Finance,positive,True
23,NVIDIA Corporation (NVDA) Named “Top Pick” by Morgan Stanley Despite Short-Term Demand Concerns - Yahoo Finance,positive,True
24,What Does NVIDIA’s (NVDA) AI-Powered Olympus Platform Mean for the EV Industry? - Yahoo Finance,positive,True
25,NVIDIA (NASDAQ:NVDA) Trading Down 2.9% - Time to Sell? - MarketBeat,negative,True
26,Is Nvidia (NVDA) a Buy as Wall Street Analysts Look Optimistic? - Yahoo Finance,positive,True
27,AI Darling Nvidia's Stock Could Keep Rising After a Record Year. Here’s Why. - Investopedia,positive,True
28,Where I Plan To Buy Nvidia Stock Next - Forbes,positive,True
29,NVDA Stock Climbs 3.5% Just Before Christmas Break - Yahoo Finance,positive,True
30,Why NVIDIA Corporation (NVDA) Is Among the Best Stocks to Buy and Hold for 3 Years? - Yahoo Finance,positive,True
31,NVDA Could Go Up To $170 In Q1 After Breaching $145 Level As Traders Turn Bullish On Jensen Huang's AI Giant - Benzinga,positive,True
32,"‘Unique Buying Opportunity,’ Says Investor About Nvidia Stock - TipRanks",positive,True
33,Three Ways Nvidia (NVDA) Benefits From The Quantum Computing Revolution - Yahoo Finance,positive,True
34,Is NVIDIA Corporation (NVDA) the Best Edge Computing Stock to Invest in According to Analysts? - Yahoo Finance,positive,True
35,We Ran A Stock Scan For Earnings Growth And NVIDIA (NASDAQ:NVDA) Passed With Ease - Yahoo Finance,positive,True
36,"Jim Cramer Says ‘If You Trade NVIDIA Corporation (NVDA), You Probably Won’t Be Able To Sell It High And Then Get Back In Low’ - Yahoo Finance",negative,True
37,Talk Your Book: Looking for the Next NVDA - A Wealth of Common Sense,neutral,True
38,Why Nvidia (NVDA) Stock Plunged Today - Yahoo Finance,negative,False
39,Jim Cramer on Nvidia (NVDA): ‘It Has No Competitors’ - Yahoo Finance,positive,True
40,Nvidia Stock's Sellers Fail To See The Big Picture (NASDAQ:NVDA) - Seeking Alpha,negative,False
41,Why NVIDIA Corporation (NVDA) Is One of the Most Held Stocks by Hedge Funds? - Yahoo Finance,positive,True
42,NVIDIA (NVDA) Surges as Retail Investors' Top Pick in 2023 - GuruFocus.com,positive,True
43,NVIDIA Corporation (NVDA): This Billionaire Quant Thinks NVDA Stock is the Cheapest Megacap - Yahoo Finance,positive,True
44,HIVE Digital (HIVE) Strengthens AI Capabilities With $30M Nvidia (NVDA) GPU Purchase - Yahoo Finance,positive,True
45,Why Nvidia (NVDA) Stock Is Declining Again Today - Yahoo Finance,negative,False
46,"NYT Report Says Jensen Huang, The CEO Of Nvidia And The 10th-Richest Person In The U.S., Trying To Allegedly Avoid $8 Billion In Taxes - Yahoo Finance",negative,False
47,Wall Street Analysts Believe Nvidia (NVDA) Could Rally 25.69%: Here's is How to Trade - Nasdaq,positive,True
48,Jim Cramer Says Nvidia (NVDA) Stock Price Not Capturing ‘Seismic Shift’ Happening in Market - Yahoo Finance,positive,True
49,NVIDIA Corporation (NVDA) Is Among Billionaire Coleman’s Top Picks - Yahoo Finance,positive,True
50,Nasdaq Composite Up Slightly: Can NVIDIA (NVDA) And AI Stocks Keep Rallying? - AOL,positive,True
51,Tom Lee Predicts a 10x Boom for Nvidia: Breaking Down the Bull and Bear Cases - The Motley Fool,positive,True
52,Dan Niles on Nvidia (NVDA): People Just Want to Believe ‘Santa Claus Rally’ - Yahoo Finance,neutral,False
53,Prediction: 2 AI Stocks Will Be Worth More Than Apple Stock by Year-End in 2025 - Yahoo Finance,positive,True
54,Here is What Wall Street Said About NVDA Stock This Week - Yahoo Finance,neutral,True
55,How Will NVIDIA (NVDA) and Apple’s Collaboration Revolutionize AI Model Performance? - Yahoo Finance,positive,True
56,NVIDIA (NASDAQ:NVDA) Stock Price Down 0.8% - Here's What Happened - MarketBeat,neutral,False
57,"Nvidia (NVDA) is Attractive After Pullback, More Upside on The Way: Morgan Stanley Analyst - Insider Monkey",positive,True
58,"Should You Buy Nvidia Before Jan. 6, 2025? - The Motley Fool",neutral,True
59,Nvidia (NVDA) Reigns Supreme in AI Market Amidst Growing Competi - GuruFocus.com,positive,True
60,Prediction: Nvidia Will Become the First $4 Trillion Stock in 2025 - The Motley Fool,positive,True
61,3 No-Brainer AI Stocks to Buy Right Now - Yahoo Finance,positive,True
62,"NVIDIA (NVDA) Dominates Retail Investor Interest, Surpassing SPY and Tesla - GuruFocus.com",positive,True
63,Prediction: Nvidia Stock Will Outperform AMD Stock in 2025 - 24/7 Wall St.,positive,True
64,Nasdaq Composite Up Slightly: Can NVIDIA (NVDA) And AI Stocks Keep Rallying? - 24/7 Wall St.,positive,True
65,NVIDIA Co. (NASDAQ:NVDA) Stake Trimmed by Atria Investments Inc - MarketBeat,neutral,False
66,NVIDIA (NASDAQ:NVDA) Trading Up 0.4% - Still a Buy? - MarketBeat,positive,True
67,Super Micro and Nvidia Expand in Taiwan with Green Energy and AI Projects - Benzinga,positive,True
68,Is Nvidia (NVDA) The Only Stock You Need to Own? - 24/7 Wall St.,positive,True
69,Nvidia stock rebounds after broad market rout as analysts stay bullish on outlook - Yahoo Finance,positive,True
70,Why 2025 Could Be A Breakout Year For Nvidia (NASDAQ:NVDA) - Seeking Alpha,positive,True
71,How Nvidia Stock Could Fall To $65 - Forbes,negative,True
72,NVIDIA (NVDA) Unveils Energy-Efficient GB200 NVL4 for Modern Dat - GuruFocus.com,positive,True
73,"2024's top and bottom Nasdaq-100 performers include NVDA, APP, INTC, MRNA, and more - Seeking Alpha",neutral,True
74,"NVIDIA Corporation (NVDA) Launches $249 Jetson Orin Nano Super, Expanding AI Accessibility for Hobbyists and Small Businesses - Yahoo Finance",positive,True
75,xAI Raises $6 Billion in Series C Funding Led by NVIDIA (NVDA) and AMD (AMD) - GuruFocus.com,positive,True
76,NVIDIA Stock Appears Undervalued: Is it the Right Time to Invest? - Yahoo Finance,positive,True
77,"Nvidia stock slides amid AI spending slowdown fears, increased competition - Yahoo Finance",negative,True
78,NVIDIA Co. (NASDAQ:NVDA) is Sigma Planning Corp's 3rd Largest Position - MarketBeat,neutral,False
79,NVIDIA Co. (NASDAQ:NVDA) Shares Sold by Costello Asset Management INC - MarketBeat,neutral,False
80,"Down 15%, Is Nvidia Stock a Buy Now? - The Motley Fool",neutral,True
81,"Nvidia: Disregard The Competition Scares, Nvidia Is Intact (NASDAQ:NVDA) - Seeking Alpha",positive,True
82,NVIDIA Corporation (NVDA) Among the Best Stocks to Buy For Long Term Growth According to This Indicator - Yahoo Finance,positive,True
83,"Nvidia Stock: It’s All About Blackwell Strength, Says Morgan Stanley - TipRanks",positive,True
84,"Disciplined Investments LLC Sells 6,971 Shares of NVIDIA Co. (NASDAQ:NVDA) - MarketBeat",neutral,False
85,Is NVIDIA Corporation (NVDA) the Best Quantum Computing Stock to Buy According to Hedge Funds? - Yahoo Finance,positive,True
86,"RKL Wealth Management LLC Sells 4,225 Shares of NVIDIA Co. (NASDAQ:NVDA) - MarketBeat",neutral,False
87,"Liberty Wealth Management LLC Sells 334,727 Shares of NVIDIA Co. (NASDAQ:NVDA) - MarketBeat",neutral,False
88,Saxo Bank’s Outrageous 2025 Prediction for Nvidia (NVDA) Stock - Yahoo Finance,positive,True
89,Privium Fund Management B.V. Grows Stake in NVIDIA Co. (NASDAQ:NVDA) - MarketBeat,positive,True
90,"XML Financial LLC Buys 5,617 Shares of NVIDIA Co. (NASDAQ:NVDA) - MarketBeat",positive,True
91,Is Shorting NVDA a Smart Trade in Current Market Conditions? - The Tokenist,negative,True
92,NVIDIA (NASDAQ:NVDA) Shares Up 0.9% - Still a Buy? - MarketBeat,positive,True
93,NVIDIA Co. (NASDAQ:NVDA) Stock Position Reduced by Bridges Investment Management Inc. - MarketBeat,neutral,False
94,Proficio Capital Partners LLC Reduces Stock Holdings in NVIDIA Co. (NASDAQ:NVDA) - MarketBeat,neutral,False
95,Nvidia Corp (NVDA-Q) Quote - Press Release - The Globe and Mail,neutral,False
96,Axxcess Wealth Management LLC Raises Stake in NVIDIA Co. (NASDAQ:NVDA) - MarketBeat,positive,True
97,Analyst Remains Upbeat on Nvidia (NVDA) Stock Despite Recent Pullback - Yahoo Finance,positive,True
98,"Resolute Advisors LLC Sells 9,146 Shares of NVIDIA Co. (NASDAQ:NVDA) - MarketBeat",neutral,False
99,Nvidia Stock Investors Got Fantastic News From Micron Technology - The Motley Fool,positive,True
